OBJECTID,Site_Code,latitude,longitude,first_date,last_date
49396,F10297,-6.44483081130829,54.3260403723097,1990-02-22,2002-02-28
49572,F10297,-6.44483081130829,54.3260403723097,2002-02-28,1997-01-28
49668,F10298,-6.47027360754098,54.3031676401774,1997-01-28,1997-11-18
49688,F10298,-6.47027360754098,54.3031676401774,1997-11-18,1997-01-14
49736,F10299,-6.46310884466936,54.2530142611959,1997-01-14,1999-12-13
49804,F10299,-6.46310884466936,54.2530142611959,1999-12-13,1997-01-14
49805,F10300,-6.47124442020072,54.205220464686,1997-01-14,2018-12-11
50047,F10300,-6.47124442020072,54.205220464686,2018-12-11,2005-07-25
50705,F10311,-6.66400815347296,54.4879028688564,2005-07-25,2008-06-30
50738,F10311,-6.66400815347296,54.4879028688564,2008-06-30,2003-12-15
51151,F10314,-6.66558829404743,54.2756952305348,2003-12-15,2003-12-15
51151,F10314,-6.66558829404743,54.2756952305348,2003-12-15,2003-12-15
51512,F10316,-6.66824385322579,54.2504784944133,2003-12-15,2006-07-28
51543,F10316,-6.66824385322579,54.2504784944133,2006-07-28,2006-07-27
52723,F10325,-6.74182888894246,54.4672753878484,2006-07-27,2008-09-24
52747,F10325,-6.74182888894246,54.4672753878484,2008-09-24,2005-07-25
52794,F10326,-6.70251674292554,54.483282419544,2005-07-25,2008-06-30
52827,F10326,-6.70251674292554,54.483282419544,2008-06-30,1990-02-15
52945,F10328,-6.65497695362086,54.4682802607579,1990-02-15,1990-02-15
52945,F10328,-6.65497695362086,54.4682802607579,1990-02-15,1990-06-26
53385,F10329,-6.68694265623153,54.4444557287767,1990-06-26,1990-06-26
53385,F10329,-6.68694265623153,54.4444557287767,1990-06-26,2006-08-30
54090,F10331,-6.83296948868794,54.3451453560403,2006-08-30,2006-08-30
54090,F10331,-6.83296948868794,54.3451453560403,2006-08-30,1990-05-28
54519,F10333,-7.03730013941647,54.4221975462735,1990-05-28,1990-05-28
54519,F10333,-7.03730013941647,54.4221975462735,1990-05-28,1990-03-22
54943,F10335,-6.63793549784136,54.5062717561579,1990-03-22,1990-05-28
54945,F10335,-6.63793549784136,54.5062717561579,1990-05-28,1990-02-21
55239,F10336,-6.7404014106921,54.5513322876427,1990-02-21,1991-03-26
55252,F10336,-6.7404014106921,54.5513322876427,1991-03-26,1990-02-22
55544,F10337,-6.63567228415857,54.4870921582364,1990-02-22,1996-12-05
55625,F10337,-6.63567228415857,54.4870921582364,1996-12-05,1990-02-22
55663,F10338,-6.62475724527706,54.4394333105812,1990-02-22,1996-12-05
55745,F10338,-6.62475724527706,54.4394333105812,1996-12-05,1990-02-22
55783,F10339,-6.55447881229682,54.4379477724615,1990-02-22,2005-08-24
55969,F10339,-6.55447881229682,54.4379477724615,2005-08-24,1990-02-22
56114,F10340,-6.52120510848414,54.4156321533647,1990-02-22,1999-07-14
56227,F10340,-6.52120510848414,54.4156321533647,1999-07-14,1990-07-26
56238,F10341,-6.54611137582169,54.355200392497,1990-07-26,2018-12-10
56562,F10341,-6.54611137582169,54.355200392497,2018-12-10,1990-02-21
56566,F10342,-6.66773795834928,54.4676400353937,1990-02-21,2009-09-23
56879,F10342,-6.66773795834928,54.4676400353937,2009-09-23,1990-02-15
56979,F10343,-6.66500818410497,54.4430024247511,1990-02-15,2006-08-29
57259,F10343,-6.66500818410497,54.4430024247511,2006-08-29,1990-05-28
57400,F10344,-6.66764140720191,54.3837270176081,1990-05-28,1991-01-28
57416,F10344,-6.66764140720191,54.3837270176081,1991-01-28,1990-05-28
57894,F10346,-6.79637818543461,54.4206203367277,1990-05-28,1990-05-28
57894,F10346,-6.79637818543461,54.4206203367277,1990-05-28,2006-11-29
59071,F10350,-6.65612305395311,54.627462365752,2006-11-29,2008-02-04
59084,F10350,-6.65612305395311,54.627462365752,2008-02-04,2006-10-02
59707,F10353,-6.67579734688706,54.6890925102869,2006-10-02,2007-01-03
59710,F10353,-6.67579734688706,54.6890925102869,2007-01-03,2007-05-03
60327,F10357,-6.67281908835352,54.6905422409582,2007-05-03,2007-05-03
60327,F10357,-6.67281908835352,54.6905422409582,2007-05-03,1990-03-16
61010,F10361,-6.56392873763191,54.6578027235438,1990-03-16,1996-11-28
61175,F10361,-6.56392873763191,54.6578027235438,1996-11-28,1990-11-29
61464,F10362,-6.70692917621367,54.6293273694783,1990-11-29,1991-02-19
61469,F10362,-6.70692917621367,54.6293273694783,1991-02-19,1990-05-29
61794,F10363,-6.74270137826502,54.6297491082835,1990-05-29,1990-05-29
61794,F10363,-6.74270137826502,54.6297491082835,1990-05-29,1990-04-09
62383,F10365,-6.71233420549652,54.657225743934,1990-04-09,1996-11-28
62543,F10365,-6.71233420549652,54.657225743934,1996-11-28,1995-11-23
62890,F10367,-6.65143134855009,54.6475789754873,1995-11-23,1998-03-19
62917,F10367,-6.65143134855009,54.6475789754873,1998-03-19,1990-02-22
63168,F10368,-6.72545704311553,54.6231273959044,1990-02-22,1990-05-29
63171,F10368,-6.72545704311553,54.6231273959044,1990-05-29,1990-12-06
65137,F10380,-6.51559857994792,54.7533032617024,1990-12-06,1991-12-10
