Site_Code,latitude,longitude,first_date,last_date
F10109,-7.25768607183109,54.6014917199455,2000-01-25,2018-12-04
F10110,-7.05367118673702,54.5733601778971,2000-01-25,2018-08-09
F10111,-7.28306435410368,54.6031359816923,1990-01-10,2018-12-04
F10112,-7.2767900880917,54.6026764275131,1992-07-08,1999-12-02
F10113,-7.27186575422702,54.6098155956914,1992-07-08,2009-12-07
F10114,-7.1273941789406,54.5757201248134,1992-07-20,2018-12-04
F10115,-7.21021058220638,54.580879696819,1992-07-20,2018-12-04
F10116,-7.44462581470962,54.525911596248,2000-03-23,2009-04-21
F10117,-7.3300732182715604,54.5494783840716,2000-03-23,2009-04-21
F10118,-7.22413264688746,54.4911710327597,2000-01-25,2018-12-04
F10119,-7.23226750657048,54.5107980679827,2000-01-25,2004-08-10
F10120,-7.42920324716878,54.5088432085952,2000-01-25,2018-12-04
F10121,-7.40277425595403,54.5204028824542,2000-01-25,2018-12-04
F10122,-7.3319386023348,54.4892368800032,2000-03-23,2009-04-21
F10123,-7.42034437895074,54.5337209155671,2000-03-23,2009-04-21
F10124,-7.3252708748925,54.4752844162074,2000-03-23,2009-04-21
F10125,-7.4907356622724,54.5401555972681,2000-01-25,2004-08-10
F10126,-7.16656455854605,54.5021698853374,2000-03-23,2009-12-07
F10127,-7.20931995446396,54.4822891057947,2000-03-23,2018-12-04
F10128,-7.29678837958267,54.600521520864,1990-02-15,2018-12-04
F10129,-7.32503365643298,54.5523879243169,1990-01-10,2018-12-04
F10130,-7.35212022687974,54.5615014717914,1996-01-02,2018-12-04
F10131,-7.35195122389534,54.5750743930455,1999-01-04,2015-09-17
F10132,-7.41500924196519,54.5308834246517,1992-07-20,1999-11-25
F10133,-7.30591029026857,54.5563760963304,1990-01-10,2018-12-04
F10134,-7.30393868895791,54.5287587550657,1992-07-20,2018-12-04
F10135,-7.32042885617689,54.487277182156,1992-07-20,2018-08-02
F10136,-7.27153558722921,54.5173654748535,1992-07-20,2018-12-04
F10137,-7.21637752130149,54.5004818334341,1992-07-20,2018-12-04
F10138,-7.08323671779641,54.8668658941048,2000-03-14,2015-10-15
F10139,-7.05842803544464,54.8493924913803,2000-01-14,2009-11-30
F10140,-7.09021665019066,54.9572876103648,2000-01-14,2018-11-29
F10141,-7.18571116204663,54.9537698620542,2000-01-14,2009-11-30
F10142,-7.25244030394349,54.9569653293626,2000-03-14,2008-05-01
F10143,-7.14089286785546,54.9591834482887,2000-03-14,2018-11-29
F10144,-7.04070476445427,54.9302992314807,2000-03-14,2009-12-04
F10145,-7.28328379322199,54.9780630737726,2000-03-14,2018-11-29
F10146,-7.16621024334269,54.8537649438194,2000-03-14,2009-11-30
F10147,-7.23007907925253,55.0299906058412,1990-02-15,2004-11-25
F10148,-7.25557036222824,55.0189567768185,1990-01-03,2014-05-20
F10151,-7.26003005320729,54.9669647390449,1992-07-06,2018-11-29
F10152,-7.21895589775103,54.9409628851748,1992-07-06,2018-11-29
F10153,-7.19706597247838,54.9134762230151,1994-04-08,2009-11-30
F10154,-7.15110722316178,54.9086004051668,1990-02-15,1999-12-10
F10155,-7.14122082058421,54.9108754720901,1994-04-08,2018-11-29
F10156,-7.07336906310745,54.8550231068972,1994-04-08,2009-11-30
F10157,-7.21626649401889,54.941250987681,1992-07-06,2018-11-29
F10158,-7.15974930410642,54.9046361192821,1994-04-08,2014-11-20
F10159,-6.9975823307087,54.8822058860266,2000-01-11,2009-11-25
F10160,-6.92057346934344,54.9674876929243,2000-01-11,2018-11-22
F10161,-6.93802620585277,54.965269870786,2000-01-11,2018-11-22
F10162,-6.92085706841821,54.9347826591284,2000-01-11,2009-11-25
F10163,-6.94300567398154,54.9546144101166,2000-01-11,2018-11-22
F10164,-6.98354174888217,54.8767172408235,2000-01-11,2004-05-28
F10165,-6.9206234445509,55.0511471883436,2000-03-09,2018-07-20
F10166,-6.8520643419636,55.0832180405832,2000-03-09,2009-11-25
F10167,-6.9430770256665,55.0843745084746,2000-03-09,2009-04-30
F10168,-6.97162544708148,54.9212901039689,2000-03-09,2009-11-25
F10169,-6.8432200433218,54.8957727839139,2000-01-11,2018-11-22
F10170,-6.95088909353299,55.1095672007496,1990-01-10,2018-12-04
F10171,-6.95611666943253,55.0490942934864,1990-01-03,2018-11-22
F10172,-6.93847537061634,55.0257566151451,1990-02-15,2018-11-22
F10173,-6.93635928251083,54.9627669816976,1990-02-15,1999-12-02
F10174,-6.93252772590357,54.928867036542,1990-02-15,2007-11-27
F10175,-6.8306568790586,54.8990122340548,1990-02-15,2018-11-22
F10176,-6.92292320948749,55.0511585806573,1994-04-08,2018-08-30
F10177,-6.93023420936602,55.0639159895784,1990-01-10,2018-11-22
F10178,-6.93524607507355,54.9310737899818,1990-01-10,2018-11-22
F10179,-6.95723181487509,54.903740123468,1990-01-10,2018-11-22
F10180,-7.02064748384001,55.0443038635063,2000-01-14,2018-11-21
F10181,-7.18083685854343,55.0137964162462,1992-07-06,2018-11-21
F10182,-7.09575237566612,55.0360280682221,1992-07-06,2018-11-21
F10183,-6.98808152725448,55.0596227655765,1992-07-06,2018-11-21
F10184,-6.93988917909708,55.1450530258443,2000-03-09,2009-04-30
F10185,-6.86105888917359,55.1622895054975,2000-03-09,2009-04-30
F10186,-6.23439853356968,54.949521692226,2000-03-08,2009-12-23
F10187,-6.19993017378511,54.9042122356189,2000-01-11,2018-12-06
F10188,-6.12331839415148,54.9171759492017,2000-01-10,2018-12-06
F10189,-6.11283063610264,54.9079932483426,2000-01-10,2018-12-06
F10190,-6.11400618953102,54.9001951663072,2000-01-10,2018-12-06
F10191,-6.32923140471532,54.9955300765857,2000-01-11,2018-12-06
F10192,-6.21121292890027,54.9823337934624,2000-01-11,2018-12-06
F10193,-6.20914370655573,54.9726724430538,2000-01-11,2018-12-06
F10194,-6.20967138995852,54.8065901256442,2000-01-10,2018-12-06
F10195,-6.09082199719477,54.8303746006301,2000-01-10,2018-12-06
F10196,-6.17696918043984,54.8958199415448,2000-03-08,2009-03-10
F10197,-6.23559435625126,54.8748274262434,2000-01-11,2018-12-06
F10198,-6.36528800048932,54.9219485616778,2000-03-08,2018-12-06
F10199,-6.39276470569537,54.997176923908,2000-03-09,2011-09-02
F10200,-6.17182584489702,54.8961469169053,2000-03-08,2009-12-17
F10201,-6.12282990740593,54.8298227962435,2000-03-08,2009-12-15
F10202,-6.36600308674858,55.0277423266686,2000-01-11,2018-12-06
F10203,-6.19773916301329,54.8094411476729,2000-03-08,2009-12-15
F10204,-6.28513244319794,54.7898197834627,2000-03-08,2018-12-06
F10205,-6.28528863423537,54.8173404427664,2000-03-08,2009-03-19
F10206,-6.33029394903937,54.8226847551706,2000-03-08,2009-03-19
F10207,-6.36929543152662,54.9096406144771,2000-03-08,2018-12-06
F10208,-6.03645208969861,54.8199474313918,2000-01-10,2018-12-06
F10209,-6.32918017556158,54.8391012413038,2000-01-10,2018-12-06
F10210,-6.27691562216933,54.8553953430683,2000-01-10,2015-09-24
F10211,-6.24073232227894,54.982099693995,2000-01-11,2009-12-22
F10212,-6.31315817377119,54.7421565308863,1990-01-03,2018-12-06
F10213,-6.32440328387902,54.8567069691298,1990-01-24,2018-12-06
F10214,-6.35119410070334,54.9530489122808,1990-01-24,2018-12-06
F10215,-6.28217570408957,54.809677857652,1990-02-15,2018-12-06
F10216,-6.19605549728038,54.8185980579725,1990-01-24,2018-12-06
F10217,-6.30181315516065,54.8513799490446,1990-01-10,2018-12-06
F10218,-6.27860596416111,54.8621394211606,1990-01-24,2009-12-22
F10219,-6.21682262517408,54.8934738131694,1990-02-15,2009-12-17
F10220,-6.34313972083995,54.9541791537263,1990-01-24,2018-12-06
F10221,-6.00846372827867,54.7420974579538,2000-03-22,2009-02-26
F10222,-5.96324012260909,54.7739786224525,2000-01-21,2018-11-21
F10223,-5.99066731012417,54.7499259380461,2000-01-21,2018-11-21
F10224,-6.2393346511254,54.7349884100959,2000-03-22,2018-11-21
F10225,-6.02194501290394,54.6859840578951,2000-03-22,2009-02-26
F10226,-6.00843562306239,54.6809558283997,2000-03-22,2009-12-10
F10227,-6.04573988563807,54.7738987695521,2000-03-22,2018-04-19
F10228,-5.9329318288195,54.7746157860649,2000-03-22,2009-12-10
F10229,-6.15106363387658,54.7197390745648,2000-01-21,2009-12-10
F10230,-6.04086028900191,54.7272616656687,2000-01-21,2018-11-21
F10231,-5.95683847044217,54.7856589114553,2000-03-22,2018-11-21
F10232,-6.23083902326085,54.7339842377545,2000-03-22,2018-04-19
F10233,-6.22581411816501,54.7164541932643,1990-01-10,2018-11-21
F10234,-6.14331940333087,54.702073925779104,1993-02-02,2018-11-21
F10235,-6.09375945540064,54.7134963650526,1990-01-24,2015-11-16
F10236,-6.08422982509001,54.7296441213543,1993-02-02,2018-11-21
F10237,-6.09064975341537,54.7406886347637,1995-02-09,2005-11-28
F10238,-6.00606079891081,54.7439088015393,1990-01-10,2018-11-21
F10239,-6.15032808800459,54.6960177576429,1993-02-02,2018-11-21
F10240,-6.09199796399723,54.712013136281,1990-01-10,2018-11-21
F10241,-6.04697362735032,54.7382946532694,1993-02-02,2018-11-21
F10242,-6.04270275834768,54.7730681233677,1993-02-02,2018-11-21
F10244,-6.24290166472887,54.624909587808,1990-01-03,2018-11-29
F10245,-6.15623861991189,54.6248513746145,1993-02-16,2018-11-29
F10246,-6.11631063970951,54.5891962668355,2000-01-21,2018-07-24
F10247,-6.14078699281971,54.5837348411484,2000-01-21,2018-11-29
F10248,-6.23931445911831,54.588227696611,1990-01-10,2018-11-29
F10249,-6.17498163037071,54.6032579736282,1993-02-16,2018-11-29
F10250,-6.11194969893629,54.1835547049689,2000-01-31,2018-12-11
F10251,-6.48636931420588,54.2249711291827,2000-01-31,2018-12-11
F10252,-6.1018727358353,54.1945200250495,2000-03-29,2018-07-03
F10253,-6.07591469975113,54.2347484621742,2000-03-29,2009-03-05
F10254,-6.12497116588014,54.1639187568236,2000-03-29,2009-12-03
F10255,-6.10638806105916,54.2328142973208,2000-03-29,2009-03-05
F10256,-6.46462220539871,54.2416050722214,2000-01-31,2015-10-01
F10257,-6.14064361354128,54.3025331878115,2000-03-29,2009-03-05
F10258,-6.25406239433388,54.3382365925098,2000-03-30,2009-03-01
F10259,-6.44636353520679,54.3220799605202,2000-03-30,2009-03-01
F10260,-6.48561520358964,54.2702621376626,2000-01-31,2018-12-11
F10261,-6.1688142548231,54.3209882452336,2000-02-29,2018-12-11
F10262,-6.1176796111828,54.2829217650993,2000-01-31,2018-12-11
F10263,-6.47836958534548,54.2656875634343,2000-03-30,2018-08-31
F10264,-6.14608765619988,54.1984525408984,2000-01-31,2009-12-03
F10265,-6.13537914055557,54.1912338107349,2000-01-31,2018-12-11
F10266,-6.45011971959164,54.2581398662015,2000-03-30,2012-10-02
F10267,-6.45513294491325,54.4038078672413,2000-03-30,2018-07-05
F10268,-6.51799941528328,54.5044204961185,1997-01-14,1999-12-13
F10269,-6.43271695520957,54.4698150720682,1990-01-03,2014-12-09
F10270,-6.44043699022285,54.4274456784378,1990-02-01,2014-12-09
F10271,-6.39660560688611,54.3980492946013,1990-01-24,2018-12-11
F10272,-6.36004115897813,54.3720327966466,1993-04-27,1999-12-13
F10273,-6.30774948167632,54.3787950635026,1990-02-01,2018-07-05
F10274,-6.28855245186581,54.3737175168588,1993-04-15,1999-12-13
F10275,-6.27870638315882,54.3585639473245,1990-01-10,1994-03-08
F10276,-6.26631766649311,54.3488177625374,1993-04-27,1999-12-13
F10277,-6.25129655204769,54.3410896427009,1990-02-01,2018-07-04
F10278,-6.20432093943266,54.3332834361257,1997-01-14,2018-12-11
F10279,-6.17495652276955,54.3211172971541,2000-01-31,2009-12-17
F10280,-6.14338809930588,54.3016320508268,1993-04-27,2018-12-11
F10282,-6.11611322886361,54.2438927576918,1997-01-14,2009-12-03
F10283,-6.10699194751555,54.2410632171235,1993-04-27,2018-12-11
F10286,-6.11171076140157,54.2317926677971,1993-04-27,2018-12-11
F10287,-6.13551049495422,54.1964832085049,1990-02-01,2009-12-03
F10292,-6.45894521617594,54.4298575226415,1990-01-10,2018-12-11
F10293,-6.49591193256904,54.3777379494894,1997-01-14,1999-12-13
F10294,-6.51697945256931,54.3376585785817,1997-01-14,1999-12-13
F10295,-6.40140335269585,54.3950492010374,1990-01-24,2018-12-11
F10296,-6.39190121049353,54.3581041947456,1997-01-14,1999-12-13
F10297,-6.44483081130829,54.3260403723097,1990-01-24,2016-10-18
F10298,-6.47027360754098,54.3031676401774,1997-01-14,1999-12-13
F10299,-6.46310884466936,54.2530142611959,1997-01-14,1999-12-13
F10300,-6.47124442020072,54.205220464686,1997-01-14,2018-12-11
F10301,-6.97370880900431,54.4121419427948,2000-03-22,2016-09-19
F10302,-6.98543267684041,54.4139030412291,2000-03-22,2009-02-24
F10303,-7.14104837059893,54.4366982345076,2000-03-22,2018-08-23
F10304,-6.90764839518394,54.3773694657671,2000-03-22,2018-12-10
F10305,-6.81779618752699,54.5343795448032,2000-03-22,2009-02-26
F10306,-7.12325077107886,54.4235978766567,2000-03-22,2009-02-19
F10307,-7.18481646786736,54.4141920989781,2000-03-22,2018-08-23
F10308,-7.11611510291735,54.3707393601911,2000-03-22,2009-02-19
F10309,-7.19235575084403,54.4271343222601,2000-01-25,2018-08-23
F10310,-6.8498961965279,54.2918614825653,2000-03-22,2016-09-19
F10311,-6.66400815347296,54.4879028688564,2000-01-25,2018-12-10
F10312,-7.09717124544508,54.4395494350336,2000-01-25,2018-08-23
F10313,-7.06151658986787,54.4155335798695,2000-01-25,2009-12-16
F10314,-6.66558829404743,54.2756952305348,2000-01-25,2018-12-10
F10315,-6.83423701442791,54.5071564615375,2000-01-25,2016-11-07
F10316,-6.66824385322579,54.2504784944133,2000-01-25,2018-12-10
F10317,-6.67460721947606,54.3275713534137,2000-03-23,2018-12-10
F10318,-6.65505893989433,54.3627619980175,2000-03-23,2018-12-10
F10319,-6.78158031550994,54.3076315166642,2000-01-25,2018-12-10
F10320,-6.89129253411857,54.4742465217938,2000-01-25,2018-12-10
F10321,-6.80235779322239,54.4548728262211,2000-01-25,2018-12-10
F10322,-7.1363712466506,54.3901741657954,2000-03-22,2009-02-19
F10323,-6.84183133706764,54.3291312779491,2000-01-25,2018-12-10
F10324,-6.62007938262493,54.4020685168451,2000-03-22,2009-02-24
F10325,-6.74182888894246,54.4672753878484,2000-03-22,2009-12-16
F10326,-6.70251674292554,54.483282419544,2000-03-22,2009-12-16
F10327,-6.6398670215705,54.4908858103878,1990-01-31,1999-12-02
F10328,-6.65497695362086,54.4682802607579,1990-01-03,2018-12-10
F10329,-6.68694265623153,54.4444557287767,1990-01-09,2018-12-10
F10330,-6.73899182324499,54.4095682131697,1993-02-12,2018-12-10
F10331,-6.83296948868794,54.3451453560403,1990-01-23,2018-12-10
F10332,-6.90686971596369,54.3696092507092,1993-02-12,2018-12-10
F10333,-7.03730013941647,54.4221975462735,1990-01-23,2018-12-10
F10334,-6.63882729171115,54.504988095961,1990-01-23,1997-11-28
F10335,-6.63793549784136,54.5062717561579,1990-01-23,2014-12-08
F10336,-6.7404014106921,54.5513322876427,1990-01-23,2016-11-07
F10337,-6.63567228415857,54.4870921582364,1990-01-23,1999-12-02
F10338,-6.62475724527706,54.4394333105812,1990-01-23,1999-12-02
F10339,-6.55447881229682,54.4379477724615,1990-01-23,2018-12-10
F10340,-6.52120510848414,54.4156321533647,1990-01-24,1999-12-02
F10341,-6.54611137582169,54.355200392497,1990-01-24,2018-12-10
F10342,-6.66773795834928,54.4676400353937,1990-01-09,2018-12-10
F10343,-6.66500818410497,54.4430024247511,1990-01-03,2018-12-10
F10344,-6.66764140720191,54.3837270176081,1990-01-09,1999-12-02
F10345,-6.68459424241192,54.2944747415479,1990-01-24,2018-12-10
F10346,-6.79637818543461,54.4206203367277,1990-01-23,2018-12-10
F10347,-6.82592545389722,54.3441067265371,1993-02-12,2018-12-10
F10348,-7.03016214121933,54.4289321635262,1993-02-12,2015-03-10
F10349,-7.15131363594973,54.4105474308056,1993-02-04,2018-08-23
F10350,-6.65612305395311,54.627462365752,2000-01-07,2018-11-19
F10351,-6.78716602908008,54.6378119631891,2000-01-07,2018-11-19
F10352,-6.86114964536246,54.6472805589349,2000-01-07,2018-11-19
F10353,-6.67579734688706,54.6890925102869,2000-03-08,2018-11-19
F10354,-6.80780074439117,54.5937092077759,2000-03-08,2018-08-02
F10355,-6.82047654503435,54.5560656832071,2000-03-08,2018-11-19
F10356,-6.78613764094192,54.5818688114419,2000-01-07,2018-11-19
F10357,-6.67281908835352,54.6905422409582,2000-01-07,2018-11-19
F10358,-6.86978883808663,54.6619688416791,2000-01-07,2018-11-19
F10359,-6.7904467930322,54.6545903944964,2000-01-07,2018-11-19
F10360,-6.82018413743552,54.5565569397711,2000-01-07,2018-11-19
F10361,-6.56392873763191,54.6578027235438,1990-01-03,2018-11-19
F10362,-6.70692917621367,54.6293273694783,1990-01-03,2014-11-17
F10363,-6.74270137826502,54.6297491082835,1990-01-24,2018-11-19
F10364,-6.86344066786067,54.6556658278871,1993-02-16,2018-11-19
F10365,-6.71233420549652,54.657225743934,1990-01-10,1999-12-10
F10366,-6.75144908998236,54.6762675623475,1993-02-16,2018-11-19
F10367,-6.65143134855009,54.6475789754873,1993-02-16,2018-11-19
F10368,-6.72545704311553,54.6231273959044,1990-01-24,2018-11-19
F10369,-6.80430114710401,54.5932883751879,1993-02-16,2018-11-19
